06-01 15:33:48: Starting new training...
06-01 15:33:50: New best reward -8.7 (-100.0%) at episode 0, saving model...
06-01 15:33:50: New best reward -7.5 (-13.8%) at episode 1, saving model...
06-01 15:33:50: New best reward -6.9 (-8.0%) at episode 5, saving model...
06-01 15:33:50: New best reward -6.3 (-8.7%) at episode 9, saving model...
06-01 15:33:51: New best reward -5.7 (-9.5%) at episode 97, saving model...
06-01 15:33:51: New best reward -4.5 (-21.1%) at episode 207, saving model...
06-01 15:33:52: New best reward -3.9 (-13.3%) at episode 233, saving model...
06-01 15:33:52: New best reward -2.1 (-46.2%) at episode 304, saving model...
06-01 15:33:54: New best reward -0.9 (-57.1%) at episode 572, saving model...
06-01 15:33:58: New best reward -0.3 (-66.7%) at episode 1198, saving model...
06-01 15:34:03: New best reward 1.5 (-600.0%) at episode 1999, saving model...
06-01 15:34:06: New best reward 2.7 (+80.0%) at episode 2305, saving model...
06-01 15:34:15: New best reward 3.9 (+44.4%) at episode 3568, saving model...
06-01 15:35:00: New best reward 4.2 (+7.7%) at episode 9588, saving model...
06-01 15:35:14: New best reward 4.5 (+7.1%) at episode 11261, saving model...
06-01 15:35:19: New best reward 4.8 (+6.7%) at episode 11817, saving model...
06-01 15:35:20: New best reward 5.0 (+4.2%) at episode 11915, saving model...
06-01 15:35:23: New best reward 6.0 (+20.0%) at episode 12201, saving model...
06-01 15:35:53: New best reward 6.5 (+8.3%) at episode 15545, saving model...
06-01 15:35:53: New best reward 8.4 (+29.2%) at episode 15658, saving model...
06-01 15:36:00: New best reward 9.5 (+13.1%) at episode 16428, saving model...
06-01 15:36:39: New best reward 10.5 (+10.5%) at episode 21001, saving model...
06-01 15:38:10: New best reward 10.9 (+3.8%) at episode 30963, saving model...
06-01 15:38:20: New best reward 13.9 (+27.5%) at episode 32012, saving model...
06-01 15:39:50: New best reward 14.0 (+0.7%) at episode 41323, saving model...
06-01 15:40:34: New best reward 15.5 (+10.7%) at episode 45600, saving model...
06-01 15:42:52: New best reward 18.2 (+17.4%) at episode 58515, saving model...
06-01 15:44:00: New best reward 18.3 (+0.5%) at episode 64575, saving model...
06-01 15:44:51: New best reward 20.7 (+13.1%) at episode 69018, saving model...
06-01 15:45:38: New best reward 22.4 (+8.2%) at episode 73039, saving model...
06-01 15:46:43: New best reward 26.9 (+20.1%) at episode 78190, saving model...
06-01 15:47:00: New best reward 27.2 (+1.1%) at episode 79581, saving model...
06-01 15:48:16: New best reward 27.4 (+0.7%) at episode 85487, saving model...
06-01 15:48:38: New best reward 32.3 (+17.9%) at episode 87167, saving model...
06-01 15:53:01: New best reward 36.8 (+13.9%) at episode 106598, saving model...
06-01 15:57:17: New best reward 37.3 (+1.4%) at episode 124977, saving model...
06-01 15:59:47: New best reward 46.3 (+24.1%) at episode 135247, saving model...
06-01 16:06:18: New best reward 55.4 (+19.7%) at episode 160022, saving model...
06-01 16:12:35: New best reward 64.4 (+16.2%) at episode 181659, saving model...
06-01 16:44:47: New best reward 68.9 (+7.0%) at episode 275805, saving model...
06-01 18:23:36: New best reward 69.0 (+0.1%) at episode 485690, saving model...
06-01 18:34:14: New best reward 74.8 (+8.4%) at episode 502382, saving model...
06-01 19:19:47: New best reward 79.0 (+5.6%) at episode 565136, saving model...
06-01 19:45:08: New best reward 85.6 (+8.4%) at episode 595030, saving model...
06-01 20:47:34: New best reward 90.1 (+5.3%) at episode 658917, saving model...
06-01 21:45:18: New best reward 108.5 (+13.8%) at episode 703980, saving model...
